dll,import_count
ADVAPI32.dll,3
AVIFIL32.dll,9
D3D9.dll,1
D3DX9_43.dll,6
DINPUT8.dll,1
DSOUND.dll,1
GDI32.dll,1
IMAGEHLP.dll,7
IPHLPAPI.DLL,2
KERNEL32.dll,143
OLE32.dll,4
OLEAUT32.dll,2
SHELL32.dll,4
STEAM_API.dll,18
USER32.dll,63
WINMM.dll,3
WMVCore.DLL,1
WS2_32.dll,27
XINPUT1_3.dll,3
XLIVE.dll,75
MSVFW32.dll,2
