name,rva,va,virtual_size,raw_offset,raw_size,characteristics
.text,0x00001000,0x00401000,16185403,0x00000400,16185856,0x60000020
.rdata,0x00F71000,0x01371000,2053450,0x00F6FE00,2053632,0x40000040
.data,0x01167000,0x01567000,2083528,0x01165400,977920,0xC0000040
.rsrc,0x01364000,0x01764000,758528,0x01254000,758784,0x40000040
