symbol,kind,parameters
FUN_00D3F420,DUAL,644;648;20;16;64;3336;3340;3300;3296;16
FUN_00D3F490,DUAL,652;656;20;16;64;3344;3348;3300;3296;16
FUN_00D3F500,DUAL,660;664;20;16;64;3352;3356;3300;3296;16
FUN_00D3F570,PAIR,668;672;20;16;64
FUN_00D3F5C0,PAIR,676;680;20;16;64
FUN_00D3F610,PAIR,684;688;20;16;64
FUN_00D3F690,SHIFT,20;16;64;692;8;3840
FUN_00D3F790,DUAL,732;736;20;16;64;5128;5132;5092;5088;16
FUN_00D3F7E0,DUAL,740;744;20;16;64;5384;5388;5348;5344;16
FUN_00D3F870,PAIR,748;752;20;16;64
FUN_00D3F8A0,PAIR,756;760;20;16;64
FUN_00D3F910,DUAL,764;768;20;16;64;5640;5644;5604;5600;16
FUN_00D3F960,DUAL,772;776;20;16;64;5896;5900;5860;5856;16
FUN_00D3F9F0,PAIR,780;784;20;16;64
FUN_00D3FA20,PAIR,788;792;20;16;64
FUN_00D3FA60,SHIFT,20;16;66;692;12;61440
FUN_00D3FAB0,PAIR,796;800;20;16;64
FUN_00D3FB00,PAIR,804;808;20;16;64
FUN_00D3FB70,PAIR,824;828;20;16;64
FUN_00D3FBC0,PAIR,832;836;20;16;64
FUN_00D3FC10,PAIR,840;844;20;16;64
FUN_00D3FC80,SHIFT,20;16;64;848;4;240
FUN_00D3FD00,S8,20;16;64;851
FUN_00D3FD40,S8,20;16;64;853
FUN_00D3FD70,S16,20;16;64;854
FUN_00D3FDA0,S16,20;16;64;856
FUN_00D3FDD0,S16,20;16;64;858
FUN_00D3FE00,S8,20;16;64;860
FUN_00D3FE30,S8,20;16;64;861
FUN_00D3FE60,S8,20;16;64;862
FUN_00D3FE90,S8,20;16;64;863
FUN_00D40140,S32,20;16;1048642;928
FUN_00D401E0,MASK,20;16;1056770;960;15
FUN_00D40220,S32,20;16;64;964
FUN_00D40260,PAIR,968;972;20;16;64
FUN_00D402B0,PAIR,976;980;20;16;64
FUN_00D40300,PAIR,984;988;20;16;64
FUN_00D40350,PAIR,992;996;20;16;64
FUN_00D403A0,PAIR,1000;1004;20;16;64
FUN_00D403F0,PAIR,1008;1012;20;16;64
FUN_00D40440,PAIR,1016;1020;20;16;64
FUN_00D40490,PAIR,1024;1028;20;16;64
FUN_00D40510,PAIR,1036;1040;20;16;64
FUN_00D40560,PAIR,1044;1048;20;16;64
FUN_00D405C0,S8,20;16;1056770;308
FUN_00D405F0,S8,20;16;66;309
FUN_00D40630,COPY,20;16;64;1056
FUN_00D40670,COPY,20;16;64;1060
FUN_00D406B0,PAIR,1064;1068;20;16;64
FUN_00D40770,PAIR,1076;1080;20;16;64
FUN_00D407C0,PAIR,1084;1088;20;16;64
FUN_00D40810,COPY,20;16;64;1092
FUN_00D408E0,PAIR,1096;1100;20;16;64
FUN_00D40910,PAIR,1104;1108;20;16;64
FUN_00D40940,PAIR,1112;1116;20;16;64
FUN_00D40990,PAIR,1120;1124;20;16;64
FUN_00D409D0,S32,20;16;64;1128
FUN_00D40A30,S8,20;16;66;1136
FUN_00D40A60,S32,20;16;66;1140
FUN_00D40AA0,PAIR,1144;1148;20;16;64
FUN_00D40BF0,S32,20;16;66;1284
FUN_00D40C50,S32,20;16;66;1292
FUN_00D40C90,PAIR,1296;1300;20;16;66
FUN_00D40CE0,PAIR,1304;1308;20;16;66
FUN_00D40D30,PAIR,1312;1316;20;16;66
FUN_00D40D80,PAIR,1320;1324;20;16;66
FUN_00D40DE0,PAIR,1332;1336;20;16;66
FUN_00D40E20,S8,20;16;66;1340
FUN_00D40E50,S8,20;16;66;1341
FUN_00D40E90,PAIR,1348;1352;20;16;66
FUN_00D40F00,S8,20;16;66;1342
FUN_00D40F30,S8,20;16;66;1343
FUN_00D40F50,S8,20;16;2113538;32
FUN_00D40FB0,S16,20;16;128;34
FUN_00D40FD0,COPY,20;16;128;36
FUN_00D41010,COPY,20;16;128;40
FUN_00D41050,COPY,20;16;128;44
FUN_00D41080,S8,20;16;4227074;32
FUN_00D41160,SHIFT,20;16;256;32;8;3840
FUN_00D411A0,SHIFT,20;16;256;32;12;61440
FUN_00D411E0,SHIFT,20;16;256;32;16;983040
FUN_00D41230,DUAL,40;44;20;16;256;688;692;652;648;16
FUN_00D412A0,DUAL,48;52;20;16;256;696;700;652;648;16
FUN_00D41310,DUAL,56;60;20;16;256;704;708;652;648;16
FUN_00D41380,DUAL,64;68;20;16;256;944;948;908;904;16
FUN_00D413F0,PAIR,72;76;20;16;256
FUN_00D41480,S8,20;16;258;104
FUN_00D414B0,S8,20;16;258;105
FUN_00D414E0,S16,20;16;256;106
FUN_00D41500,PAIR,108;112;20;16;256
FUN_00D41550,S32,20;16;258;120
FUN_00D41570,S32,20;16;258;124
FUN_00D41590,S32,20;16;258;128
FUN_00D415B0,S32,20;16;258;132
FUN_00D415E0,MASK,20;16;258;136;15
FUN_00D41620,SHIFT,20;16;258;136;4;240
FUN_00D41660,SHIFT,20;16;258;136;8;3840
FUN_00D416A0,SHIFT,20;16;258;136;12;61440
FUN_00D416E0,S8,20;16;258;138
FUN_00D41710,S8,20;16;258;139
FUN_00D41750,PAIR,140;144;20;16;256
FUN_00D417A0,COPY,20;16;256;148
FUN_00D417F0,S8,20;16;258;160
FUN_00D41820,S8,20;16;258;161
FUN_00D41850,S8,20;16;258;164
FUN_00D41880,S8,20;16;258;165
FUN_00D418C0,COPY,20;16;256;168
FUN_00D41900,PAIR,172;176;20;16;256
FUN_00D41970,PAIR,180;184;20;16;258
FUN_00D419A0,PAIR,188;192;20;16;258
FUN_00D419D0,PAIR,196;200;20;16;258
FUN_00D41A00,PAIR,204;208;20;16;258
FUN_00D41A70,S32,20;16;258;220
FUN_00D41AA0,S8,20;16;258;224
FUN_00D41AD0,S32,20;16;258;228
FUN_00D41B00,MASK,20;16;258;232;15
FUN_00D41B40,SHIFT,20;16;258;232;4;240
FUN_00D41B80,SHIFT,20;16;258;232;8;3840
FUN_00D41BC0,SHIFT,20;16;258;232;12;61440
FUN_00D41C10,PAIR,236;240;20;16;258
FUN_00D41C40,PAIR,244;248;20;16;258
FUN_00D41C90,PAIR,252;256;20;16;258
FUN_00D41CE0,PAIR,260;264;20;16;258
FUN_00D41D30,PAIR,268;272;20;16;258
FUN_00D41D80,PAIR,276;280;20;16;258
FUN_00D41DD0,DUAL,284;288;20;16;258;1712;1716;1676;1672;16
FUN_00D41E40,DUAL,292;296;20;16;258;1720;1724;1676;1672;16
FUN_00D41EB0,DUAL,300;304;20;16;258;1728;1732;1676;1672;16
FUN_00D41F20,DUAL,308;312;20;16;258;1968;1972;1932;1928;16
FUN_00D41F90,DUAL,316;320;20;16;258;1976;1980;1932;1928;16
FUN_00D42000,DUAL,324;328;20;16;258;1984;1988;1932;1928;16
FUN_00D42060,S16,20;16;258;234
FUN_00D420A0,PAIR,332;336;20;16;258
FUN_00D420F0,PAIR,340;344;20;16;258
FUN_00D42350,S8,20;16;2;112
FUN_00D42390,S8,20;16;1;114
FUN_00D423C0,S8,20;16;1;115
FUN_00D423E0,S32,20;16;2;116
FUN_00D42410,S32,20;16;5;120
FUN_00D42430,S32,20;16;5;124
FUN_00D42590,S16,20;16;9;168
FUN_00D425C0,S16,20;16;9;170
FUN_00D425F0,S16,20;16;9;172
FUN_00D42620,S16,20;16;9;174
FUN_00D42650,S16,20;16;9;176
FUN_00D42680,S16,20;16;9;178
FUN_00D426B0,S8,20;16;9;180
FUN_00D426E0,S8,20;16;9;181
FUN_00D42760,SHIFT,20;16;9;184;8;3840
FUN_00D42990,S32,20;16;16385;276
FUN_00D429C0,S32,20;16;1048576;280
FUN_00D42AC0,S8,20;16;2;10424
FUN_00D42AF0,S8,68;64;528386;84
FUN_00D42B30,S8,7908;7904;2113538;7920
FUN_00D42B70,S8,8220;8216;4227074;8232
FUN_00D42BA0,S32,68;64;32;196
FUN_00D42CB0,SHIFT,1524;1520;64;1576;8;3840
FUN_00D4E4F0,S32,20;16;66;1328
FUN_00DE8310,S8,20;16;18;92
FUN_00DE8350,S32,20;16;18;100
FUN_00DE8380,S8,20;16;32;24
FUN_00DE83A0,S8,20;16;32;25
FUN_00DE83C0,S16,20;16;34;26
FUN_00DE83F0,COPY,20;16;32;40
FUN_00DE8420,S8,20;16;34;44
FUN_00DE8470,S8,20;16;32;45
FUN_00DE84A0,S8,20;16;38;52
FUN_00DE84E0,S8,20;16;38;72
FUN_00DE8580,S8,20;16;266242;28
FUN_00DE85B0,S32,20;16;66;32
FUN_00DE85D0,S32,20;16;66;64
FUN_00DE85F0,S32,20;16;66;68
FUN_00DE8630,COPY,20;16;66;72
FUN_00DE8690,COPY,20;16;64;80
FUN_00DE8700,S8,20;16;262210;100
FUN_00DE8730,S8,20;16;64;101
FUN_00DE8760,S8,20;16;64;102
FUN_00DE87A0,PAIR,108;112;20;16;64
FUN_00DE87E0,PAIR,116;120;20;16;64
FUN_00DE8820,PAIR,124;128;20;16;64
FUN_00DE88B0,S32,20;16;130;28
FUN_00DE88F0,S32,20;16;130;36
FUN_00DE8940,S32,20;16;130;44
FUN_00DE8960,PAIR,48;52;20;16;128
FUN_00DE89E0,SHIFT,20;16;128;72;8;3840
FUN_00DE8A10,S32,20;16;128;76
FUN_00DE8A50,PAIR,80;84;20;16;128
FUN_00DE8A90,PAIR,88;92;20;16;128
FUN_00DE8AD0,PAIR,96;100;20;16;128
FUN_00DE8B10,PAIR,104;108;20;16;128
FUN_00DE8B50,PAIR,112;116;20;16;128
FUN_00DE8B90,PAIR,120;124;20;16;128
FUN_00DE8C00,S16,20;16;128;144
FUN_00DE8C70,S8,20;16;532482;181
FUN_00DE8CB0,SHIFT,20;16;128;180;20;15728640
FUN_00DE8D10,SHIFT,20;16;128;184;4;240
FUN_00DE8D70,PAIR,188;192;20;16;128
FUN_00DE8DA0,PAIR,196;200;20;16;128
FUN_00DE8DD0,PAIR,204;208;20;16;128
FUN_00DE8E20,PAIR,212;216;20;16;128
FUN_00DE8E70,PAIR,220;224;20;16;128
FUN_00DE8EC0,PAIR,228;232;20;16;128
FUN_00DE8F60,PAIR,244;248;20;16;128
FUN_00DE9040,S16,20;16;256;26
FUN_00DE9080,COPY,20;16;256;28
FUN_00DE90C0,COPY,20;16;256;32
FUN_00DE9100,COPY,20;16;256;36
FUN_00DE9120,S8,20;16;2129922;24
FUN_00DE9150,S8,20;16;512;25
FUN_00DE9250,PAIR,44;48;20;16;512
FUN_00DE9290,PAIR,52;56;20;16;512
FUN_00DE92D0,PAIR,60;64;20;16;512
FUN_00DE9310,PAIR,68;72;20;16;512
FUN_00DE9350,PAIR,24;28;20;16;2
FUN_00DE9370,S32,20;16;5;32
FUN_00DE9390,S32,20;16;5;36
FUN_00DE93E0,S16,20;16;9;44
FUN_00DE9410,S16,20;16;9;46
FUN_00DE9440,S16,20;16;9;48
FUN_00DE9470,S32,20;16;1;52
FUN_00DE9490,S32,20;16;524288;56
FUN_00DE9570,S8,20;16;2;2720
FUN_00DE9590,S8,68;64;266242;76
FUN_00DE95C0,S8,420;416;532482;424
FUN_00DE9600,S8,1756;1752;1064962;1760
